player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,total_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,rating,league
R. Kardesoglu,Attacker,53.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,UEFA U21 Championship
N. Frick,Attacker,30.365853658536587,0.0,0.0,0.0975609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.0,Challenge League
Y. Frick,Attacker,79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UEFA U21 Championship
F. Wolfinger,Midfielder,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UEFA U21 Championship
L. Meier,Midfielder,89.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,UEFA U21 Championship
J. Hofer,Defender,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,UEFA U21 Championship
M. Göppel,Defender,51.88461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,Challenge League
L. Lo Russo,Goalkeeper,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Schweizer Cup
D. Salanović,Midfielder,47.416666666666664,0.7916666666666666,0.08333333333333333,0.041666666666666664,0.08333333333333333,5.458333333333333,0.5,74.52226803626542,0.0,0.4166666666666667,0.0,0.16666666666666666,0.0,0.5,0.20833333333333334,0.875,0.375,0.0,6.414506156864873,Super League
A. Malin,Defender,77.375,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,2. Liga
J. Ospelt,Goalkeeper,88.72727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,Challenge League
A. Sele,Midfielder,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,Challenge League
N. Frommelt,Midfielder,75.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,UEFA U21 Championship
N. Hasler,Midfielder,70.0,0.7999999999999999,0.16666666666666666,0.0,0.06666666666666667,14.000000000000002,0.4666666666666667,73.60000000000001,0.0,1.1333333333333335,0.03333333333333333,0.36666666666666664,0.0,3.2333333333333334,1.4666666666666666,0.7,0.3333333333333333,0.03333333333333333,6.7099991999999995,Super League
S. Wieser,Midfielder,63.40909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,Challenge League
B. Büchel,Goalkeeper,88.6060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Challenge League
M. Büchel,Midfielder,61.42857142857143,0.14285714285714285,0.0,0.0,0.0,16.857142857142858,0.42857142857142855,69.0,0.0,0.42857142857142855,0.0,1.5714285714285714,0.0,0.0,0.0,1.1428571428571428,0.7142857142857143,0.2857142857142857,6.483333,Serie B
