player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,total_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,rating,league
G. Pandev,Attacker,48.6,0.9714285714285714,0.6,0.2571428571428571,0.02857142857142857,11.82857142857143,0.6285714285714286,70.94204081632654,0.0,0.3142857142857143,0.02857142857142857,0.0,0.0,2.257142857142857,0.9714285714285714,1.5714285714285714,0.7714285714285715,0.14285714285714285,6.755087137959183,Serie A
E. Alioski,Midfielder,58.26829268292683,1.5609756097560976,0.3902439024390244,0.12195121951219512,0.07317073170731707,21.853658536585368,1.1463414634146343,72.92682926829268,0.0,1.5609756097560976,0.024390243902439025,0.7317073170731707,0.0,8.121951219512194,3.731707317073171,0.6585365853658536,0.36585365853658536,0.1951219512195122,6.863875634146341,Championship
E. Bejtulai,Defender,86.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,First League
I. Trichkovski,Attacker,84.37037037037037,0.0,0.0,0.9259259259259258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,1. Division
D. Shishkovski,Goalkeeper,89.26470588235293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,First League
T. Kitanovski,Defender,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41666666666666663,0.0,Superliga
D. Iliev,Goalkeeper,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,Super Liga
B. Nikolov,Midfielder,62.407407407407405,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2962962962962963,0.0,NB I
R. Jankov,Goalkeeper,81.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UEFA U21 Championship
G. Stoilov,Midfielder,84.09090909090911,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,First League
